1#央视,#genre#
北京卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181361BESTVSMGSMG/index.m3u8?m3u8_level=2
东南卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3540417BESTVSMGSMG/index.m3u8?m3u8_level=2
广东卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181359BESTVSMGSMG/index.m3u8?m3u8_level=2
广西卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000045BESTVSMGSMG/index.m3u8?m3u8_level=2
贵州卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN4252663BESTVSMGSMG9/index.m3u8?m3u8_level=2
海南卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN4252684BESTVSMGSMG9/index.m3u8?m3u8_level=2
重庆卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3840707BESTVSMGSMG9/index.m3u8?m3u8_level=2
山东卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN911992BESTVSMGSMG/index.m3u8?m3u8_level=2
深圳卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181362BESTVSMGSMG/index.m3u8?m3u8_level=2
四川卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3840706BESTVSMGSMG9/index.m3u8?m3u8_level=2
天津卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3450000BESTVSMGSMG/index.m3u8?m3u8_level=2
河北卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN100000002BESTVSMGSMG9/index.m3u8?m3u8_level=2
河南卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000044BESTVSMGSMG/index.m3u8?m3u8_level=2
黑龙江卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181356BESTVSMGSMG/index.m3u8?m3u8_level=2
吉林卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000046BESTVSMGSMG/index.m3u8?m3u8_level=2
江西卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3468921BESTVSMGSMG/index.m3u8?m3u8_level=2
辽宁卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3450001BESTVSMGSMG/index.m3u8?m3u8_level=2
山西卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN1344BESTVSMGSMG9/index.m3u8?m3u8_level=2
陕西卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN7105BESTVSMGSMG9/index.m3u8?m3u8_level=2
宁夏卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN160782BESTVSMGSMG9/index.m3u8?m3u8_level=2
青海卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN67026BESTVSMGSMG9/index.m3u8?m3u8_level=2
西藏卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN77574BESTVSMGSMG9/index.m3u8?m3u8_level=2
兵团卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN126389BESTVSMGSMG9/index.m3u8?m3u8_level=2
新疆卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN126387BESTVSMGSMG9/index.m3u8?m3u8_level=2
内蒙古卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN79469BESTVSMGSMG9/index.m3u8?m3u8_level=2
厦门卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN484994BESTVSMGSMG/index.m3u8?m3u8_level=2
云南卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000043BESTVSMGSMG/index.m3u8?m3u8_level=2
甘肃卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000067BESTVSMGSMG/index.m3u8?m3u8_level=2
4#专业,#genre#
CGTN,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63806f4f64099/index.m3u8?m3u8_level=2
CGTN阿拉伯语,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638071d299009/index.m3u8?m3u8_level=2
CGTN俄语,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638071d299009/index.m3u8?m3u8_level=2
CGTN法语,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63806fb631afe/index.m3u8?m3u8_level=2
CGTN纪录,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63a15d0ee63f3/index.m3u8?m3u8_level=2
CGTN西班牙语,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN63806f81c8eb5/index.m3u8?m3u8_level=2
CETV-1,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3138605BESTVSMGSMG/index.m3u8?m3u8_level=2
CETV-2,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN79471BESTVSMGSMG/index.m3u8?m3u8_level=2
CETV-4,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6876519BESTVSMGSMG/index.m3u8?m3u8_level=2
北京卡酷少儿,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN164297BESTVSMGSMG9/index.m3u8?m3u8_level=2
梨园频道,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6380788ba7bed/index.m3u8?m3u8_level=2
文物宝库,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638078a346161/index.m3u8?m3u8_level=2
武术世界,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638078be5d654/index.m3u8?m3u8_level=2
茶频道,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638729d8aca53/index.m3u8?m3u8_level=2
金鹰纪实,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN4766929BESTVSMGSMG/index.m3u8?m3u8_level=2
金鹰卡通,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000057BESTVSMGSMG/index.m3u8?m3u8_level=2
快乐垂钓,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN638729b6002c4/index.m3u8?m3u8_level=2
百视通1,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123222BESTVSMGSMG9/index.m3u8?m3u8_level=2
百视通2,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123223BESTVSMGSMG9/index.m3u8?m3u8_level=2
百视通3,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123224BESTVSMGSMG9/index.m3u8?m3u8_level=2
百视通4,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123225BESTVSMGSMG9/index.m3u8?m3u8_level=2
百视通5,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123226BESTVSMGSMG9/index.m3u8?m3u8_level=2
百视通6,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123227BESTVSMGSMG9/index.m3u8?m3u8_level=2
百视通7,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN123228BESTVSMGSMG9/index.m3u8?m3u8_level=2
咪咕视频1,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000001000008001/index.m3u8?m3u8_level=2
咪咕视频2,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000001000008176/index.m3u8?m3u8_level=2
咪咕视频3,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000001000008379/index.m3u8?m3u8_level=2
咪咕视频4,http://ztecdn.hb.chinamobile.com:6060/170000001115/3000000001000031494/index.m3u8?m3u8_level=2
